upedonid,peiid,pedon_key,site_key,siteiid,usiteid,pedlabsampnum,Yearlabel,year_source,samp_classdate,site_obsdate,TAXORDER,TAXSUBORDER,GREATGROUP,SUBGROUP,PARTICLESIZE,latitude,longitude,state_key,county_key
S1956AK170002,109627,586,586,109613,S1956AK170002,40A0606,1956,site_obsdate,6/1/1956 0:00,6/1/1956 0:00,,,,,,61.5833321,-149.1111145,3946,4275
S1960AK170001,109632,587,587,109618,S1960AK170001,40A0607,1960,site_obsdate,6/1/1960 0:00,6/1/1960 0:00,,,,,,62.3162155,-150.2380371,3946,4275
S1956AK122004,109610,588,588,109596,S1956AK122004,40A0608,1956,site_obsdate,6/1/1956 0:00,6/1/1956 0:00,,,,,,60.1803131,-151.4381561,3946,4271
S1956AK122003,109609,589,589,109595,S1956AK122003,40A0609,1956,site_obsdate,6/1/1956 0:00,6/1/1956 0:00,,,,,,60.1392021,-151.5070496,3946,4271
S1956AK090001,109598,590,590,109584,S1956AK090001,40A0610,1956,site_obsdate,6/1/1956 0:00,6/1/1956 0:00,,,,,,64.8844452,-147.789444,3946,4268
S1956AK090002,109599,591,591,109585,S1956AK090002,40A0611,1956,site_obsdate,6/1/1956 0:00,6/1/1956 0:00,,,,,,64.9097214,-147.6261139,3946,4268
S1959AK090001,109602,592,592,109588,S1959AK090001,40A0612,1959,site_obsdate,6/1/1959 0:00,6/1/1959 0:00,,,,,,64.9097214,-147.6261139,3946,4268
S1959AK090002,109603,593,593,109589,S1959AK090002,40A0613,1959,site_obsdate,6/1/1959 0:00,6/1/1959 0:00,,,,,,64.7941666,-147.9894409,3946,4268
S1959AK090003,109604,594,594,109590,S1959AK090003,40A0614,1959,site_obsdate,6/1/1959 0:00,6/1/1959 0:00,,,,,,64.8905563,-147.3230591,3946,4268
S1960AK090003,109606,595,595,109592,S1960AK090003,40A0615,1960,site_obsdate,7/6/1960 0:00,7/6/1960 0:00,,,,,,64.8905563,-147.3230591,3946,4268
S1960AK090001,109605,596,596,109591,S1960AK090001,40A0616,1960,site_obsdate,7/7/1960 0:00,7/7/1960 0:00,,,,,,64.9097214,-147.6261139,3946,4268
S1956AK170005,109630,597,597,109616,S1956AK170005,40A0617,1956,site_obsdate,6/1/1956 0:00,6/1/1956 0:00,,,,,,61.5739899,-149.6554565,3946,4275
S1956AK170006,109631,598,598,109617,S1956AK170006,40A0618,1956,site_obsdate,6/1/1956 0:00,6/1/1956 0:00,,,,,,61.5509338,-149.552948,3946,4275
S1960AK122003,109618,599,599,109604,S1960AK122003,40A0619,1960,site_obsdate,6/1/1960 0:00,6/1/1960 0:00,,,,,,59.6769676,-151.5897827,3946,4271
S1960AK122004,109619,600,600,109605,S1960AK122004,40A0620,1960,site_obsdate,7/8/1960 0:00,7/8/1960 0:00,,,,,,59.6661377,-151.5486755,3946,4271
