upedonid,peiid,pedon_key,site_key,usiteid,Yearlabel,year_source,baseline_year,baseline_land_use,baseline_developed,sampled_before_1985,region_group,lcms_version,samp_classdate,site_obsdate,TAXORDER,TAXSUBORDER,GREATGROUP,SUBGROUP,PARTICLESIZE,latitude,longitude,state_key,county_key
S1957AR107002,107673,4161,4161,S1957AR107002,1957,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,8/16/1957 0:00,8/16/1957 0:00,,,,,,34.5558319,-90.8294449,3948,4407
S1971FL099001,109843,4016,4016,S1971FL099001,1971,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,7/14/1971 0:00,7/14/1971 0:00,,,,,,26.632087,-80.1420225,3957,4631
S1960FL121031,100626,4791,4791,S1960FL121031,1960,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,2/25/1960 0:00,2/25/1960 0:00,,,,,,30.2682877,-82.9918213,3957,4642
S1953FL115003,100596,4821,4821,S1953FL115003,1953,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,5/1/1953 0:00,5/1/1953 0:00,,,,,,26.9836693,-82.3651428,3957,4639
S1953FL033012,100570,4826,4826,S1953FL033012,1953,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,5/26/1953 0:00,5/26/1953 0:00,,,,,,30.7329979,-87.3513947,3957,4598
S1953FL033015,100573,4829,4829,S1953FL033015,1953,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,5/26/1953 0:00,5/26/1953 0:00,,,,,,30.325510025024414,-87.3747253,3957,4598
S1953FL115004,100597,4831,4831,S1953FL115004,1953,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,5/1/1953 0:00,5/1/1953 0:00,,,,,,27.1858845,-82.4862595,3957,4639
S1953FL033014,100572,4848,4848,S1953FL033014,1953,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,5/26/1953 0:00,5/26/1953 0:00,,,,,,30.7329979,-87.3513947,3957,4598
S1962GA225007,100938,4878,4878,S1962GA225007,1962,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,4/4/1962 0:00,4/4/1962 0:00,,,,,,32.5540581,-83.8760147,3960,4763
S1962GA225009,100940,4879,4879,S1962GA225009,1962,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,4/4/1962 0:00,4/4/1962 0:00,,,,,,32.5640602,-83.8993454,3960,4763
S1962GA225023,100948,4881,4881,S1962GA225023,1962,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,7/18/1962 0:00,7/18/1962 0:00,,,,,,32.5735016,-83.8940735,3960,4763
S1956GA277005,100960,4901,4901,S1956GA277005,1956,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,2/1/1956 0:00,2/1/1956 0:00,,,,,,31.3465919,-83.587677,3960,4789
S1968ID017001,101387,5508,5508,S1968ID017001,1968,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,9/9/1968 0:00,9/9/1968 0:00,,,,,,48.1668053,-117.0141296,3964,4925
76ID049002,346575,50152,49438,76-ALF-002,1976,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,7/26/1976 0:00,7/26/1976 0:00,,,,,,46.3185539,-115.583252,3964,4941
76ID049008,346582,50159,49445,76-ALF-009,1976,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,8/10/1976 0:00,8/10/1976 0:00,,,,,,46.6148605,-114.4626083,3964,4941
