upedonid,peiid,pedon_key,site_key,usiteid,Yearlabel,year_source,previousYear,transitionYear,transitionPeriod,years_between_sampling_and_development,time_since_development_2025,development_age_class,transition,transitionName,state_name,county_name,region_group,lcms_study_area,lcms_version,samp_classdate,site_obsdate,TAXORDER,TAXSUBORDER,GREATGROUP,SUBGROUP,PARTICLESIZE,latitude,longitude,state_key,county_key,source_file
78AL023001A,955987,6716,6716,"78AL023001A",1978,site_obsdate,1985,1986,1985-1986,8,39,"Long-term developed, more than 30 years",2,Forest to Developed,Alabama,Choctaw,CONUS Central 2,CONUS,v2025-11,8/3/1986 0:00,6/1/1978 0:00,ultisols,udults,hapludults,typic hapludults,clayey,31.7672222,-88.2244444,3947,4298,US_NCSS_changed_pedons_1985_to_1986.csv
S1978AL023001,114027,6647,6647,"S1978AL023001",1978,site_obsdate,1985,1986,1985-1986,8,39,"Long-term developed, more than 30 years",2,Forest to Developed,Alabama,Choctaw,CONUS Central 2,CONUS,v2025-11,6/3/1978 0:00,1/12/1978 0:00,ultisols,udults,hapludults,typic hapludults,clayey,31.7672215,-88.2244415,3947,4298,US_NCSS_changed_pedons_1985_to_1986.csv
S1956AK090002,109599,591,591,"S1956AK090002",1956,site_obsdate,1985,1986,1985-1986,30,39,"Long-term developed, more than 30 years",2,Forest to Developed,Alaska,Fairbanks North Star,Alaska Main,AK,v2024-10,6/1/1956 0:00,6/1/1956 0:00,,,,,,64.9097214,-147.6261139,3946,4268,US_NCSS_changed_pedons_1985_to_1986.csv
S1959AK090001,109602,592,592,"S1959AK090001",1959,site_obsdate,1985,1986,1985-1986,27,39,"Long-term developed, more than 30 years",2,Forest to Developed,Alaska,Fairbanks North Star,Alaska Main,AK,v2024-10,6/1/1959 0:00,6/1/1959 0:00,,,,,,64.9097214,-147.6261139,3946,4268,US_NCSS_changed_pedons_1985_to_1986.csv
S1960AK090001,109605,596,596,"S1960AK090001",1960,site_obsdate,1985,1986,1985-1986,26,39,"Long-term developed, more than 30 years",2,Forest to Developed,Alaska,Fairbanks North Star,Alaska Main,AK,v2024-10,7/7/1960 0:00,7/7/1960 0:00,,,,,,64.9097214,-147.6261139,3946,4268,US_NCSS_changed_pedons_1985_to_1986.csv
S1961CA097006,100243,2909,2909,"S1961CA097006",1961,site_obsdate,1985,1986,1985-1986,25,39,"Long-term developed, more than 30 years",2,Forest to Developed,California,Sonoma,CONUS West 1,CONUS,v2025-11,6/22/1961 0:00,6/22/1961 0:00,ultisols,ustults,haplustults,typic haplustults,fine-loamy,38.3786125,-122.8327789,3951,4497,US_NCSS_changed_pedons_1985_to_1986.csv
1984IL029107,375232,37178,36563,"1984IL029107",1984,site_obsdate,1985,1986,1985-1986,2,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Illinois,Coles,CONUS Central 2,CONUS,v2025-11,2/1/1984 0:00,2/1/1984 0:00,alfisols,udalfs,hapludalfs,typic hapludalfs,fine-loamy,39.3815778,-88.4340306,3965,4975,US_NCSS_changed_pedons_1985_to_1986.csv
80IL-049-001,963393,36693,36078,"80IL-049-001",1980,site_obsdate,1985,1986,1985-1986,6,39,"Long-term developed, more than 30 years",2,Forest to Developed,Illinois,Effingham,CONUS Central 2,CONUS,v2025-11,,4/1/1980 0:00,alfisols,udalfs,hapludalfs,ultic hapludalfs,fine-silty,39.1188324,-88.5939638,3965,4985,US_NCSS_changed_pedons_1985_to_1986.csv
1977IL085017,375613,36392,35777,"1977IL085017",1977,site_obsdate,1985,1986,1985-1986,9,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Illinois,Jo Daviess,CONUS Central 2,CONUS,v2025-11,7/1/1977 0:00,7/1/1977 0:00,mollisols,udolls,argiudolls,typic argiudolls,fine-silty,42.2142962,-90.2115763,3965,5003,US_NCSS_changed_pedons_1985_to_1986.csv
1981IL115021,351068,36764,36149,"1981IL115021",1981,site_obsdate,1985,1986,1985-1986,5,39,"Long-term developed, more than 30 years",1,Agriculture to Developed,Illinois,Macon,CONUS Central 2,CONUS,v2025-11,7/1/1981 0:00,7/1/1981 0:00,mollisols,udolls,argiudolls,aquic argiudolls,fine-silty,39.9672689,-88.8265636,3965,5018,US_NCSS_changed_pedons_1985_to_1986.csv
