upedonid,peiid,pedon_key,site_key,usiteid,Yearlabel,year_source,baseline_year,baseline_land_use,baseline_developed,sampled_before_1985,region_group,lcms_version,samp_classdate,site_obsdate,TAXORDER,TAXSUBORDER,GREATGROUP,SUBGROUP,PARTICLESIZE,latitude,longitude,state_key,county_key
S1957AR107002,107673,4161,4161,S1957AR107002,1957,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,8/16/1957 0:00,8/16/1957 0:00,,,,,,34.5558319,-90.8294449,3948,4407
93AR095001,107666,20939,20939,S1993AR095001,1993,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,10/1/1993 0:00,10/1/1993 0:00,,,,,,34.7367859,-91.1062317,3948,4401
96AR139001,107684,22709,22709,S1996AR139001,1996,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,6/18/1996 0:00,6/18/1996 0:00,,,,,,33.3543167,-92.6862793,3948,4423
97AR043005,109299,23724,23724,S1997AR043005,1997,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,10/6/1997 0:00,10/6/1997 0:00,,,,,,33.4069443,-91.6777802,3948,4375
55-CA-52-004,533341,52533,51807,S1955-CA-52-004,2009,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,2/23/2009 0:00,2/23/2009 0:00,,,,pachic ultic argixerolls,,40.3574982,-121.7981644,3951,4500
72-CA-53-008x,533418,52970,52244,S1972-CA-53-008x,2009,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,2/27/2009 0:00,2/27/2009 0:00,,,,pachic ultic argixerolls,,40.6379852,-122.9470978,3951,4501
S1971FL099001,109843,4016,4016,S1971FL099001,1971,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,7/14/1971 0:00,7/14/1971 0:00,,,,,,26.632087,-80.1420225,3957,4631
S1960FL121031,100626,4791,4791,S1960FL121031,1960,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,2/25/1960 0:00,2/25/1960 0:00,,,,,,30.2682877,-82.9918213,3957,4642
S1953FL115003,100596,4821,4821,S1953FL115003,1953,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,5/1/1953 0:00,5/1/1953 0:00,,,,,,26.9836693,-82.3651428,3957,4639
S1953FL033012,100570,4826,4826,S1953FL033012,1953,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,5/26/1953 0:00,5/26/1953 0:00,,,,,,30.7329979,-87.3513947,3957,4598
S1953FL033015,100573,4829,4829,S1953FL033015,1953,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,5/26/1953 0:00,5/26/1953 0:00,,,,,,30.325510025024414,-87.3747253,3957,4598
S1953FL115004,100597,4831,4831,S1953FL115004,1953,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,5/1/1953 0:00,5/1/1953 0:00,,,,,,27.1858845,-82.4862595,3957,4639
S1953FL033014,100572,4848,4848,S1953FL033014,1953,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,5/26/1953 0:00,5/26/1953 0:00,,,,,,30.7329979,-87.3513947,3957,4598
S1962GA225007,100938,4878,4878,S1962GA225007,1962,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,4/4/1962 0:00,4/4/1962 0:00,,,,,,32.5540581,-83.8760147,3960,4763
S1962GA225009,100940,4879,4879,S1962GA225009,1962,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,4/4/1962 0:00,4/4/1962 0:00,,,,,,32.5640602,-83.8993454,3960,4763
S1962GA225023,100948,4881,4881,S1962GA225023,1962,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,7/18/1962 0:00,7/18/1962 0:00,,,,,,32.5735016,-83.8940735,3960,4763
S1956GA277005,100960,4901,4901,S1956GA277005,1956,site_obsdate,1985,Developed,1,1,CONUS,v2025-11,2/1/1956 0:00,2/1/1956 0:00,,,,,,31.3465919,-83.587677,3960,4789
99GA299010,111388,25128,25128,S1999GA299010,1999,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,11/29/1999 0:00,11/29/1999 0:00,,,,,,31.39638900756836,-82.4388885,3960,4800
S1972IA045006,845321,70699,68727,S1972IA045006,2013,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,,2/15/2013 0:00,,,,,,41.9966426,-90.1842231,3963,4840
S1987IA097006,950928,70897,68925,S1987IA097006,1987,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,9/9/1987 0:00,9/9/1987 0:00,,,,,,42.1976516,-90.7372049,3963,4866
S1959IA191039,1071500,71158,69182,S1959IA191039,2014,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,7/21/2014 0:00,7/21/2014 0:00,,,,,,43.1112415,-91.9241384,3963,4913
S1959IA191040,1071501,71159,69183,S1959IA191040,2014,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,7/21/2014 0:00,7/21/2014 0:00,,,,,,43.2331312,-91.6128696,3963,4913
S1962IA065003,1071544,71180,69204,S1962IA065003,2014,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,,7/28/2014 0:00,,,,,,43.0581688,-92.0628529,3963,4850
S1962IA065027,1071565,71202,69226,S1962IA065027,2014,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,8/4/2014 0:00,8/4/2014 0:00,,,,,,42.9222601,-91.9433735,3963,4850
S1962IA065041,1071577,71216,69240,S1962IA065041,2014,site_obsdate,1985,Developed,1,0,CONUS,v2025-11,8/5/2014 0:00,8/5/2014 0:00,,,,,,43.0518459,-91.7670132,3963,4850
